date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:56	3010/3010	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Aug%202020%2012:31:14%20GMT	http://azim.commonsupport.com/Metlife/assets/images/shape/pattern-32.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/shape/pattern-32.png	(from http://azim.commonsupport.com/Metlife/index-2.html)
23:45:56	2563/2563	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Aug%202020%2012:31:54%20GMT	http://azim.commonsupport.com/Metlife/assets/images/shape/pattern-33.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/shape/pattern-33.png	(from http://azim.commonsupport.com/Metlife/index-2.html)
23:45:57	3284/3284	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Aug%202020%2012:32:24%20GMT	http://azim.commonsupport.com/Metlife/assets/images/shape/pattern-34.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/shape/pattern-34.png	(from http://azim.commonsupport.com/Metlife/index-2.html)
23:45:58	57419/57419	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Aug%202020%2001:21:32%20GMT	http://azim.commonsupport.com/Metlife/assets/images/resource/about-3.jpg	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/resource/about-3.jpg	(from http://azim.commonsupport.com/Metlife/index-2.html)
23:46:05	42702/42702	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Aug%202020%2013:16:50%20GMT	http://azim.commonsupport.com/Metlife/assets/images/shape/pattern-35.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/shape/pattern-35.png	(from http://azim.commonsupport.com/Metlife/index-2.html)
23:46:05	42926/42926	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Aug%202020%2019:26:08%20GMT	http://azim.commonsupport.com/Metlife/assets/images/shape/pattern-41.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/shape/pattern-41.png	(from http://azim.commonsupport.com/Metlife/index-2.html)
23:46:07	16249/16249	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Aug%202020%2019:27:16%20GMT	http://azim.commonsupport.com/Metlife/assets/images/shape/pattern-42.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/shape/pattern-42.png	(from http://azim.commonsupport.com/Metlife/index-2.html)
23:46:08	8640/8640	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Aug%202020%2015:06:50%20GMT	http://azim.commonsupport.com/Metlife/assets/images/shape/pattern-37.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/shape/pattern-37.png	(from http://azim.commonsupport.com/Metlife/index-2.html)
23:46:08	1369/1369	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Aug%202020%2015:08:16%20GMT	http://azim.commonsupport.com/Metlife/assets/images/shape/pattern-38.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/shape/pattern-38.png	(from http://azim.commonsupport.com/Metlife/index-2.html)
23:46:09	1369/1369	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Aug%202020%2015:09:42%20GMT	http://azim.commonsupport.com/Metlife/assets/images/shape/pattern-39.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/shape/pattern-39.png	(from http://azim.commonsupport.com/Metlife/index-2.html)
